N° de la commande;Date de la commande;Libellé famille;Libellé sous-famille;Libellé article;Qté commandée;Qté livrée;Prix unitaire;Statut
0000572821;19/02/2013;PHYTOSANITAIRES;Herbicides céréales;CHARDEX 5 L;30,00;30,00;11,65;Liquidé
0000559362;17/01/2013;SEMENCES;Divers;SORGHO ENSILAGE BMR 333  D220MG;8,00;8,00;81,00;Liquidé
0000559362;17/01/2013;PHYTOSANITAIRES;Herbicides vigne;BOA 3 L;6,00;6,00;71,44;Liquidé
0000558296;15/01/2013;SEMENCES;Maïs classe a;MA.BERGXXON DUO STD D50MG;8,00;8,00;102,84;Liquidé
0000558296;15/01/2013;SEMENCES;Maïs classe a;MA.SHANNON STD D50MG;2,00;2,00;99,44;Liquidé
0000558296;15/01/2013;SEMENCES;Maïs classe a;MA.LG3490  D50MG;10,00;10,00;104,29;Liquidé
0000558296;15/01/2013;SEMENCES;Maïs classe a;MA.BOOMER D50MG;4,00;4,00;105,26;Liquidé
0000558296;15/01/2013;PHYTOSANITAIRES;Fongicides  céréales;ADEXAR 5L;35,00;35,00;53,58;Liquidé
0000558296;15/01/2013;PHYTOSANITAIRES;Fongicides  céréales;PROSARO 5 L;5,00;5,00;49,45;Liquidé
0000558296;15/01/2013;PHYTOSANITAIRES;Herbicides maïs;SUPPRIME/BOA 5 L;5,00;0,00;71,44;Supprimé
0000558296;15/01/2013;PHYTOSANITAIRES;Herbicides maïs;SUPPRIME/BROMOTRIL 225 5 L;15,00;15,00;24,44;Liquidé
0000558296;15/01/2013;PHYTOSANITAIRES;Herbicides maïs;ELITE 4 SC 5 L;15,00;15,00;20,06;Liquidé
0000558296;15/01/2013;PHYTOSANITAIRES;Herbicides maïs;CALLISTO 5 L;5,00;5,00;44,61;Liquidé
0000558296;15/01/2013;PHYTOSANITAIRES;Herbicides maïs;CONQUERANT 2 KG;4,00;4,00;70,32;Liquidé
0000558296;15/01/2013;SEMENCES;Divers;SORGHO ENSILAGE BMR 333  D220MG;8,00;0,00;81,00;Supprimé
0000558297;15/01/2013;PHYTOSANITAIRES;Fongicides  céréales;BELL STAR 5 L;35,00;0,00;35,69;Liquidé
0000557836;14/01/2013;ALIMENTS;Céréales;BLE EN 25 KG CRAFT;2,00;2,00;9,50;Liquidé
0000549492;12/12/2012;ALIMENTS;Chevaux;DESTRIER CLUB 25KG;0,05;0,05;418,88;Liquidé
0000543638;26/11/2012;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 GAU+RED 25KG;1,00;1,00;94,60;Liquidé
0000542000;22/11/2012;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 GAU+RED 25KG;2,25;2,25;94,60;Liquidé
0000542000;22/11/2012;PHYTOSANITAIRES;Anti-limaces;INT19092014-MESUROL PRO 5 KG;20,00;20,00;9,90;Liquidé
0000539337;16/11/2012;SEMENCES;Blé tendre;SUPPRIME/BTH S CAPHORN R1 GAU+RED 25KG;0,50;0,50;94,60;Liquidé
0000539756;16/11/2012;SEMENCES;BLE TENDRE SEM;BTH S CAPHORN R1 CELGON S25;0,25;0,25;71,92;Liquidé
0000537983;14/11/2012;PHYTOSANITAIRES;Herbicides céréales;INTERDIT 01032015/KALAO D+ 5 L;10,00;10,00;17,47;Liquidé
0000537983;14/11/2012;PHYTOSANITAIRES;Nettoyants;SUPPRIME/HIVERNAGE PULVERISATEUR 10L;10,00;10,00;2,75;Liquidé
0000526214;15/10/2012;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;92,00;92,00;15,60;Liquidé
0000507984;03/09/2012;SEMENCES;Blé tendre;SUPPRIME/BTH S CAPHORN R1 GAU+RED 25KG;12,50;12,50;85,17;Liquidé
0000507984;03/09/2012;SEMENCES;Blé tendre;SUPPRIME / BTH S AREZZO R1 GAUREDLATS25K;7,50;7,50;115,41;Liquidé
0000507984;03/09/2012;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 GAU+RED 25KG;12,50;12,50;85,17;Liquidé
0000507984;03/09/2012;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 GAU+RED 25KG;1,00;1,00;88,80;Liquidé
0000507984;03/09/2012;SEMENCES;Blé dur;SUPPRIME/BD S MIRADOUX R1 GAU+RED 25KG;12,50;12,50;109,15;Liquidé
0000507984;03/09/2012;SEMENCES;Blé dur;SUPPRIME/BD S MIRADOUX R1 GAU+RED 25KG;1,00;0,00;113,69;Liquidé
0000507984;03/09/2012;SEMENCES;Orge hiver escourgeo;SUPPRIME/ESC S ARTURIO R1GAURED25KG;7,00;6,50;94,85;Liquidé
0000505347;29/08/2012;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;75,50;Liquidé
0000505347;29/08/2012;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;75,50;Liquidé
0000482077;09/07/2012;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;1,10;1,10;395,00;Liquidé
0000476352;29/06/2012;ALIMENTS;Céréales;MAIS CASSE EN 25 KG CRAFT;1,00;1,00;8,15;Liquidé
0000476352;29/06/2012;ALIMENTS;Minéraux  sel blocs;SEL  MER AGRICOLE en 25 KGS;1,00;1,00;5,62;Liquidé
0000476352;29/06/2012;QUINCAILLERIE EQUIPE;Ficelles;FICELLE FILOGAMM  350  BOB 5KG;4,00;4,00;9,25;Liquidé
0000460519;06/06/2012;SEMENCES;Divers;MOHA 25KG;3,00;3,00;56,25;Liquidé
0000460519;06/06/2012;SEMENCES;Légumineuses fourrag;TREFLE ALEXANDRIE   S10K;4,00;4,00;35,60;Liquidé
0000455858;30/05/2012;ALIMENTS;Minéraux  sel blocs;SEL  MER AGRICOLE en 25 KGS;3,00;3,00;5,62;Liquidé
0000454787;29/05/2012;FERTILISANTS;Engrais;UREE GR VRAC;0,34;0,34;476,00;Liquidé
0000450233;23/05/2012;ALIMENTS;Compléments nutritio;BICARBONATE DE SOUDE 25 KG;0,40;0,40;510,51;Liquidé
0000439921;09/05/2012;SEMENCES;Couverts environneme;MELANGE ESTIVAL S25KG;4,00;0,00;71,20;Supprimé
0000439953;09/05/2012;PHYTOSANITAIRES;Adjuvants;TECHNOMOUSSE 500 ML;1,00;1,00;20,40;Liquidé
0000439953;09/05/2012;QUINCAILLERIE EQUIPE;Recyclage;SAC ADIVALOR 500L;2,00;2,00;0,00;Liquidé
0000439953;09/05/2012;ALIMENTS;Minéraux  sel blocs;SEL  MER AGRICOLE en 25 KGS;3,00;3,00;5,62;Liquidé
0000439953;09/05/2012;SEMENCES;Divers;SORGHO ENSILAGE BMR 333  D220MG;5,00;5,00;87,75;Liquidé
0000439953;09/05/2012;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;75,50;Liquidé
0000439953;09/05/2012;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;75,50;Liquidé
0000439953;09/05/2012;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 12m;1,00;1,00;75,50;Liquidé
0000439953;09/05/2012;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL SILOVERT NOIR VERT 150µ 14M;1,00;1,00;102,15;Liquidé
0000432774;24/04/2012;QUINCAILLERIE EQUIPE;Equipement environne;SUPP/ ARMOIRE DE STOCKAGE 0.5 M3;1,00;1,00;390,00;Liquidé
0000428672;17/04/2012;FERTILISANTS;Engrais;AMMONITRE 33,5%    BB;0,60;0,60;413,00;Liquidé
0000427862;16/04/2012;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;6,72;6,72;395,00;Liquidé
0000393150;24/02/2012;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;5,00;5,00;395,00;Liquidé
0000393150;24/02/2012;FERTILISANTS;Engrais;UREE GR VRAC;5,00;5,00;398,00;Liquidé
0000378882;18/01/2012;PHYTOSANITAIRES;Fongicides  céréales;FANDANGO S 5 L;50,00;50,00;34,12;Liquidé
0000378882;18/01/2012;PHYTOSANITAIRES;Fongicides  céréales;SUPPRIME/BALMORA 5 L;10,00;10,00;25,00;Liquidé
0000378882;18/01/2012;PHYTOSANITAIRES;Herbicides maïs;ISARD 5 L;15,00;15,00;26,54;Liquidé
0000378882;18/01/2012;SEMENCES;Maïs classe a;SUPPRIME/MA.LG3490 CRUISER 50MG;10,00;10,00;137,03;Liquidé
0000378882;18/01/2012;SEMENCES;Maïs classe a;MA.BOOMER D50MG;10,00;10,00;99,75;Liquidé
0000378882;18/01/2012;SEMENCES;Maïs classe a;SUPPRIME/MA.BERGXXON D50MG;11,00;11,00;94,83;Liquidé
0000378916;18/01/2012;PHYTOSANITAIRES;Fongicides  céréales;CEANDO 5 L;35,00;0,00;39,64;Liquidé
0000367471;01/12/2011;PHYTOSANITAIRES;Herbicides céréales;INTERDIT / MATIN EL 10 L;20,00;20,00;9,80;Liquidé
0000367471;01/12/2011;PHYTOSANITAIRES;Herbicides céréales;INTERDIT 01032015/ MEXTRA 5 L;20,00;20,00;18,25;Liquidé
0000367179;30/11/2011;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;10,00;10,00;404,00;Liquidé
0000361209;14/11/2011;PHYTOSANITAIRES;Nettoyants;SUPPRIME/HIVERNAGE PULVERISATEUR 10L;10,00;10,00;2,98;Liquidé
0000361375;14/11/2011;SEMENCES;BLE TENDRE SEM;BTH S CAPHORN R1 CELGON S25;2,50;2,50;65,90;Liquidé
0000359550;08/11/2011;LOGISTIQUE AGROFOURN;Location semoir;LOC.SEMOIR ENGR.COOP;32,71;32,71;7,00;Liquidé
0000357422;02/11/2011;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 CELGOLDNET25KG;1,00;1,00;66,70;Liquidé
0000349879;11/10/2011;SEMENCES;AVOINE SEM;AVOINE HIV S UNE DE MAI R1 S20;5,20;5,20;77,08;Liquidé
0000343933;21/09/2011;PHYTOSANITAIRES;Herbicides totaux;SUPPRIME/BUGGY PLUS 100 L;100,00;100,00;4,14;Liquidé
0000338515;06/09/2011;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 14m;2,00;2,00;83,50;Liquidé
0000338515;06/09/2011;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;2,00;2,00;83,50;Liquidé
0000338515;06/09/2011;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;83,50;Liquidé
0000338515;06/09/2011;ALIMENTS;Minéraux  sel blocs;SEL  MER AGRICOLE en 25 KGS;4,00;4,00;5,62;Liquidé
0000330121;05/08/2011;LOGISTIQUE AGROFOURN;Location semoir;LOC.SEMOIR ENGR.COOP;40,04;40,04;7,00;Liquidé
0000328660;02/08/2011;SEMENCES;Graminées fourragère;RAY G. HYB. BAHIAL S10K;18,00;18,00;36,61;Liquidé
0000328660;02/08/2011;SEMENCES;Graminées fourragère;DACTYLE LAZULY S10KG;4,00;4,00;57,90;Liquidé
0000328660;02/08/2011;SEMENCES;Légumineuses fourrag;TREFLE V. SEGUR S10KG;7,00;7,00;71,50;Liquidé
0000328660;02/08/2011;SEMENCES;LUZERNE SEM;LUZ S COMETE R1 S10;6,00;6,00;65,72;Liquidé
0000328673;02/08/2011;SEMENCES;Légumineuses fourrag;SUPP/VESCE VELUE SAVANE HIVER 10KG;20,00;20,00;36,50;Liquidé
0000328673;02/08/2011;SEMENCES;Couverts environneme;ACTISOL ECO S25KG;18,00;18,00;30,60;Liquidé
0000328678;02/08/2011;SEMENCES;Divers;SUPPRIM/AVOINE HIV S EVORA R1 CELNET S25;5,25;0,00;77,08;Liquidé
0000328678;02/08/2011;SEMENCES;Blé tendre;SUPPRIME /BTH S CAPHORN R1 GAUREDLATS25K;15,00;15,00;103,58;Liquidé
0000328678;02/08/2011;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 GAU+RED 25KG;28,00;28,00;78,95;Liquidé
0000328678;02/08/2011;SEMENCES;Blé dur;SUPPRIME/BD S MIRADOUX R1 GAU+RED 25KG;16,00;16,00;95,47;Liquidé
0000322851;19/07/2011;ALIMENTS;Céréales;BLE EN 25 KG CRAFT;4,00;4,00;7,91;Liquidé
0000304369;26/05/2011;SEMENCES;Divers;SUPPRIME/MOHA 10KG;15,00;15,00;22,50;Liquidé
0000281969;18/04/2011;PHYTOSANITAIRES;Anti-limaces;INT19092014/MESUROL PRO 20 KG;80,00;80,00;8,65;Liquidé
0000277678;12/04/2011;SEMENCES;Maïs classe a;SUPPRIME/MA.LG30533 CRUISER 50MG;10,00;10,00;131,00;Liquidé
0000277678;12/04/2011;SEMENCES;Maïs classe a;SUPPRIME/MA.LG3490 CRUISER 50MG;1,00;1,00;136,50;Liquidé
0000270186;01/04/2011;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;192,00;91,00;14,98;Liquidé
0000270186;01/04/2011;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;14,00;0,00;0,00;Liquidé
0000259413;16/03/2011;SEMENCES;Maïs classe a;SUPPRIME/MA.LG3530 CRUISER 50MG;11,00;0,00;131,00;Liquidé
0000237057;04/02/2011;PHYTOSANITAIRES;Herbicides maïs;ISARD 5 L;35,00;35,00;27,54;Liquidé
0000237057;04/02/2011;PHYTOSANITAIRES;Herbicides maïs;SUPPRIME/RITMIC 5 L;15,00;15,00;25,49;Liquidé
0000237057;04/02/2011;PHYTOSANITAIRES;Herbicides maïs;CALLISTO 5 L;20,00;20,00;44,20;Liquidé
0000237057;04/02/2011;PHYTOSANITAIRES;Fongicides  céréales;FANDANGO S 5 L;50,00;50,00;35,12;Liquidé
0000237057;04/02/2011;PHYTOSANITAIRES;Fongicides  céréales;SUPPRIME/BALMORA 5 L;5,00;5,00;32,05;Liquidé
0000237057;04/02/2011;PHYTOSANITAIRES;Anti-limaces;INT19092014-MESUROL PRO 5 KG;80,00;0,00;9,62;Liquidé
0000237057;04/02/2011;SEMENCES;Maïs classe a;SUPPRIME/MA.BOOMER CRUISER 50MG;10,00;10,00;135,90;Liquidé
0000237057;04/02/2011;SEMENCES;Maïs classe a;SUPPRIME/MA.LG30533 CRUISER 50MG;11,00;0,00;131,00;Liquidé
0000237057;04/02/2011;SEMENCES;Maïs classe a;SUPPRIME/MA.BERGXXON D50MG;21,00;21,00;95,50;Liquidé
0000232206;26/01/2011;FERTILISANTS;Engrais;AMMONITRATE 27%  VR;20,00;20,00;313,00;Liquidé
0000190703;10/09/2010;SEMENCES;Blé tendre;SUPPRIME/BTH S CAPHORN R1 GAU+RED 25KG;10,00;10,00;74,15;Liquidé
0000190703;10/09/2010;SEMENCES;Blé tendre;SUPPRIME/BTH S PREMIO R1 GAU+RED 25KG;18,50;18,50;73,17;Liquidé
0000190703;10/09/2010;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 GAU+RED 25KG;12,50;11,50;73,26;Liquidé
0000190703;10/09/2010;SEMENCES;Blé dur;SUPPRIME/BD S MIRADOUX R1 GAU+RED 25KG;12,50;12,50;90,08;Liquidé
